Zipcode,Income,Income per Capita,Population,Population White,Population Black,Population American Indian,Population Asian,Population Hawaiian,Population 2 or more Races,Population Hispanic,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Age,Median Male Age,Median Female Age,Median House Construction/Year,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Cost,Poverty,Poverty Male,Poverty Female,Family Poverty
33182,66422.0,22014.0,16264.0,14714.0,1147.0,0.0,127.0,0.0,104.0,14218.0,2951.0,443.0,1279.0,2068.0,628.0,349.0,86.0,40.6,39.4,42.2,1993.0,1350.0,1596.0,241800.0,1932.0,1818.0,877.0,941.0,365.0
33183,52571.0,22768.0,37166.0,33677.0,1450.0,77.0,651.0,0.0,519.0,32237.0,6458.0,693.0,2593.0,5261.0,1250.0,576.0,385.0,41.2,37.8,43.8,1980.0,1169.0,1292.0,166900.0,1658.0,4849.0,2053.0,2796.0,953.0
33184,50268.0,20677.0,21229.0,20635.0,221.0,0.0,103.0,0.0,77.0,20230.0,3778.0,322.0,1435.0,2794.0,641.0,357.0,141.0,42.2,41.1,43.4,1985.0,1135.0,1321.0,188500.0,1738.0,3394.0,1228.0,2166.0,696.0
33185,76293.0,25355.0,29029.0,27876.0,265.0,0.0,353.0,0.0,296.0,26570.0,2793.0,654.0,2510.0,3977.0,1814.0,407.0,117.0,36.1,33.3,39.3,2000.0,1719.0,1936.0,269200.0,2330.0,2714.0,1398.0,1316.0,471.0
33186,63834.0,26041.0,71426.0,62235.0,4168.0,113.0,1988.0,24.0,1303.0,47063.0,10831.0,906.0,5163.0,11350.0,4053.0,1500.0,745.0,36.0,33.3,39.4,1986.0,1277.0,1388.0,214200.0,1897.0,7253.0,2698.0,4555.0,1307.0
33187,68571.0,23714.0,17159.0,14818.0,1583.0,52.0,313.0,0.0,165.0,12802.0,2822.0,312.0,1034.0,2161.0,398.0,174.0,225.0,39.2,36.6,40.7,1992.0,820.0,927.0,249500.0,2083.0,1299.0,662.0,637.0,286.0
33189,47695.0,21000.0,23110.0,16545.0,4876.0,23.0,256.0,0.0,341.0,12021.0,3684.0,816.0,1936.0,2212.0,920.0,216.0,137.0,35.5,32.3,38.3,1986.0,825.0,946.0,171900.0,1717.0,3699.0,1727.0,1972.0,719.0
33190,49118.0,22711.0,11878.0,7634.0,3200.0,0.0,320.0,0.0,391.0,6616.0,1264.0,280.0,942.0,1171.0,419.0,100.0,107.0,29.5,26.9,31.6,1999.0,933.0,1066.0,142700.0,1892.0,1539.0,833.0,706.0,280.0
33193,50329.0,19961.0,45852.0,41373.0,1514.0,115.0,1299.0,0.0,555.0,39096.0,7713.0,487.0,3142.0,6617.0,1427.0,619.0,261.0,39.3,35.4,42.3,1991.0,1086.0,1218.0,204200.0,1838.0,5877.0,2540.0,3337.0,1374.0
33194,68521.0,16178.0,7438.0,5690.0,1035.0,47.0,377.0,0.0,120.0,5013.0,748.0,470.0,381.0,651.0,405.0,102.0,0.0,36.1,38.6,33.6,2005.0,1707.0,2001.0,233000.0,2225.0,436.0,95.0,341.0,50.0
33196,63773.0,23687.0,44429.0,37083.0,3774.0,0.0,1569.0,170.0,1029.0,32394.0,6433.0,542.0,3824.0,6632.0,1685.0,609.0,258.0,35.1,33.3,36.9,1992.0,1155.0,1319.0,232800.0,2104.0,5374.0,2369.0,3005.0,1146.0
