,,,North,0.021399901,,South,-0.021399901,,East,,0.023518703,West,,-0.023518703,NE,0.021399901,0.023518703,SW,-0.021399901,-0.023518703,SE,-0.021399901,0.023518703,NW,0.021399901,-0.023518703
zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi
33101,25.7783254,-80.1990136,33101,25.7997253,-80.1990136,33101,25.7569255,-80.1990136,33101,25.7783254,-80.1754949,33101,25.7783254,-80.2225323,33101,25.7997253,-80.1754949,33101,25.7569255,-80.2225323,33101,25.7569255,-80.1754949,33101,25.7997253,-80.2225323
33130,25.7667897,-80.2070328,33130,25.7881896,-80.2070328,33130,25.7453898,-80.2070328,33130,25.7667897,-80.1835141,33130,25.7667897,-80.2305515,33130,25.7881896,-80.1835141,33130,25.7453898,-80.2305515,33130,25.7453898,-80.1835141,33130,25.7881896,-80.2305515
33131,25.76528,-80.1847167,33131,25.7866799,-80.1847167,33131,25.7438801,-80.1847167,33131,25.76528,-80.161198,33131,25.76528,-80.2082354,33131,25.7866799,-80.161198,33131,25.7438801,-80.2082354,33131,25.7438801,-80.161198,33131,25.7866799,-80.2082354
33132,25.7700009,-80.1679758,33132,25.7914008,-80.1679758,33132,25.748601,-80.1679758,33132,25.7700009,-80.1444571,33132,25.7700009,-80.1914945,33132,25.7914008,-80.1444571,33132,25.748601,-80.1914945,33132,25.748601,-80.1444571,33132,25.7914008,-80.1914945
33133,25.7307897,-80.2377078,33133,25.7521896,-80.2377078,33133,25.7093898,-80.2377078,33133,25.7307897,-80.2141891,33133,25.7307897,-80.2612265,33133,25.7521896,-80.2141891,33133,25.7093898,-80.2612265,33133,25.7093898,-80.2141891,33133,25.7521896,-80.2612265
33134,25.7564662,-80.2711588,33134,25.7778661,-80.2711588,33134,25.7350663,-80.2711588,33134,25.7564662,-80.2476401,33134,25.7564662,-80.2946775,33134,25.7778661,-80.2476401,33134,25.7350663,-80.2946775,33134,25.7350663,-80.2476401,33134,25.7778661,-80.2946775
33135,25.7686714,-80.2349196,33135,25.7900713,-80.2349196,33135,25.7472715,-80.2349196,33135,25.7686714,-80.2114009,33135,25.7686714,-80.2584383,33135,25.7900713,-80.2114009,33135,25.7472715,-80.2584383,33135,25.7472715,-80.2114009,33135,25.7900713,-80.2584383
33136,25.7870967,-80.2042436,33136,25.8084966,-80.2042436,33136,25.7656968,-80.2042436,33136,25.7870967,-80.1807249,33136,25.7870967,-80.2277623,33136,25.8084966,-80.1807249,33136,25.7656968,-80.2277623,33136,25.7656968,-80.1807249,33136,25.8084966,-80.2277623
33137,25.8207159,-80.1819268,33137,25.8421158,-80.1819268,33137,25.799316,-80.1819268,33137,25.8207159,-80.1584081,33137,25.8207159,-80.2054455,33137,25.8421158,-80.1584081,33137,25.799316,-80.2054455,33137,25.799316,-80.1584081,33137,25.8421158,-80.2054455
33138,25.8558416,-80.1819268,33138,25.8772415,-80.1819268,33138,25.8344417,-80.1819268,33138,25.8558416,-80.1584081,33138,25.8558416,-80.2054455,33138,25.8772415,-80.1584081,33138,25.8344417,-80.2054455,33138,25.8344417,-80.1584081,33138,25.8772415,-80.2054455
